taxid	species	rna_count	illumina_rna_count	cds_link
98039	Schrenkiella parvula	61	61	
3067	Volvox carteri	61	61	
38881	Botryococcus braunii	65	60	
44685	Panax japonicus	61	60	
161756	Isatis tinctoria	61	60	
74647	Rosa multiflora	60	60	
85681	Citrus clementina	60	59	
3661	Cucurbita maxima	59	59	
139927	Carya cathayensis	73	58	
97700	Quercus lobata	60	57	
266767	Populus davidiana	58	57	
4431	Nelumbo lutea	58	57	
175694	Andrographis paniculata	60	56	
309978	Zoysia japonica	58	56	
39414	Plantago lanceolata	56	56	
71450	Marchantia inflexa	56	56	
141467	Calotropis procera	56	56	
84609	Azolla filiculoides	70	55	
58934	Zizania latifolia	60	55	
39955	Monoraphidium minutum	55	55	
91225	Pterocarya stenoptera	55	55	
212056	Phalaenopsis aphrodite	105	54	
3117	Ulva prolifera	55	54	
55513	Pistacia vera	54	54	
80754	Corylus heterophylla	54	54	
1127754	Ettlia oleoabundans	54	54	
4528	Oryza longistaminata	54	54	
120290	Psidium guajava	53	53	
23110	Hydrangea macrophylla	57	52	
159041	Citrus hindsii	53	52	
91218	Juglans mandshurica	53	52	
1262659	Eragrostis nindensis	52	52	
38859	Mentha longifolia	52	52	
172790	Solanum phureja	52	52	
182084	Gynostemma pentaphyllum	58	51	
56038	Fraxinus velutina	51	51	
295327	Populus simonii	51	51	
185002	Plantago ovata	100	50	
1111766	Chrysanthemum seticuspe	86	50	
210372	Aquilaria sinensis	53	50	
65409	Scutellaria baicalensis	50	50	
78168	Passiflora edulis	50	50	
396313	Rhazya stricta	50	49	
64941	Fragaria nilgerrensis	49	49	
35883	Ipomoea nil	49	49	
4588	Thinopyrum elongatum	55	48	
29722	Amaranthus tricolor	49	48	
33114	Capsicum baccatum	48	48	
3993	Euphorbia esula	47	47	
4460	Colocasia esculenta	47	47	
55188	Citrus unshiu	69	46	
492479	Populus pruinosa	52	46	
3523	Casuarina equisetifolia	49	46	
4227	Flaveria trinervia	47	46	
180540	Moricandia arvensis	46	46	
56029	Fraxinus mandshurica	46	46	
103355	Vitis labrusca	46	46	
44951	Pontederia paniculata	46	46	
183675	Miscanthus sacchariflorus	46	46	
107243	Noccaea caerulescens	55	45	
45834	Solanum dulcamara	47	45	
47621	Gossypium australe	46	45	
99432	Isoetes taiwanensis	45	45	
320322	Musa troglodytarum	45	45	
171929	Anacardium occidentale	45	45	
78372	Amorphophallus konjac	59	44	
165200	Actinidia eriantha	54	44	
44588	Panax quinquefolius	54	44	
226012	Vitis cinerea	45	44	
4573	Aegilops speltoides	45	44	
213833	Oxalis stricta	44	44	
13708	Tagetes erecta	44	44	
38872	Fraxinus americana	44	44	
112615	Cymbidium sinense	45	43	
39984	Bruguiera gymnorhiza	44	43	
228974	Thymus quinquecostatus	43	43	
200751	Syntrichia caninervis	43	43	
3075	Auxenochlorella protothecoides	43	43	
180763	Vaccinium myrtillus	44	42	
49556	Oenanthe javanica	42	42	
249344	Picochlorum	42	42	
29706	Sporobolus alterniflorus	53	41	
175104	Primula vulgaris	47	41	
103485	Quercus mongolica	42	41	
29674	Eleusine indica	41	41	
118357	Rhododendron simsii	62	40	
28502	Amaranthus hypochondriacus	46	40	
4538	Oryza glaberrima	42	40	
72917	Erigeron canadensis	41	40	
118699	Nicotiana knightiana	40	40	
49369	Coffea eugenioides	40	40	
498180	Ulva mutabilis	40	40	
34281	Gossypium trilobum	40	40	
34273	Gossypium thurberi	40	40	
62751	Larix sibirica	45	39	
40686	Salix viminalis	56	38	
3915	Vigna mungo	49	38	
106626	Rhizophora apiculata	38	38	
65948	Nasturtium officinale	38	38	
161112	Wolffia australiana	55	37	
158543	Aristolochia fimbriata	48	37	
229202	Vaccinium darrowii	38	37	
130454	Arachis ipaensis	38	37	
49168	Rhododendron molle	37	37	
875672	Solanum ahanhuiri	37	37	
62141	Nicotiana paniculata	37	37	
35884	Ipomoea trifida	37	37	
33125	Lepidium sativum	37	36	
1842917	Tillandsia leiboldiana	36	36	
220113	Tillandsia fasciculata	36	36	
2054765	Cardamine occulta	36	36	
170927	Primula veris	36	36	
118713	Nicotiana undulata	36	36	
93036	Poa annua	50	35	
271171	Macrotyloma uniflorum	35	35	
3730	Sisymbrium irio	35	35	
76974	Atalantia buxifolia	44	34	
362788	Senna tora	42	34	
3467	Eschscholzia californica	37	34	
155640	Melia azedarach	34	34	
91191	Tetradesmus acuminatus	34	34	
109069	Alnus rubra	34	34	
38722	Zoysia matrella	34	34	
376710	Solanum arcanum	34	34	
4076	Datura stramonium	34	34	
1249515	Hemerocallis citrina	35	33	
107608	Amaranthus palmeri	33	33	
41882	Mesostigma viride	54	32	
35974	Santalum album	41	32	
180675	Salvia splendens	38	32	
3884	Phaseolus lunatus	32	32	
4109	Solanum commersonii	32	32	
3522	Casuarina glauca	33	31	
114280	Cichorium endivia	32	31	
128215	Sphagnum magellanicum	31	31	
308297	Moricandia moricandioides	31	31	
41880	Pycnococcus provasolii	31	31	
124943	Azadirachta indica	32	30	
227691	Arachis monticola	31	30	
2855397	Chimonanthus salicifolius	30	30	
3897	Styphnolobium japonicum	30	30	
85884	Argania spinosa	30	30	
87088	Vigna umbellata	30	30	
3476	Parasponia andersonii	52	29	
561484	Aeschynomene evenia	39	29	
13451	Corylus avellana	33	29	
3332	Picea sitchensis	30	29	
55488	Posidonia australis	29	29	
83154	Bassia scoparia	29	29	
35885	Ipomoea triloba	29	29	
210225	Nymphaea colorata	29	29	
56867	Marchantia paleacea	46	28	
130453	Arachis duranensis	35	28	
121554	Senecio squalidus	28	28	
180536	Eruca vesicaria	28	28	
3334	Picea engelmannii	28	28	
40149	Oryza meridionalis	28	28	
171251	Citrus medica	31	27	
4217	Arctium lappa	29	27	
41578	Flaveria ramosissima	28	27	
377125	Apocynum venetum	28	27	
39875	Silene conica	28	27	
146996	Chrysanthemum lavandulifolium	27	27	
2849586	Anethum foeniculum	27	27	
663965	Anastatica hierochuntica	27	27	
69332	Chara braunii	27	27	
44682	Panax stipuleanatus	27	27	
90898	Cicer reticulatum	31	26	
224144	Suaeda aralocaspica	26	26	
50765	Gentiana macrophylla	26	26	
154761	Miscanthus floridulus	26	26	
266091	Gynochthodes officinalis	26	26	
1148796	Oropetium thomaeum	26	26	
217475	Arachis stenosperma	27	25	
121720	Berberis thunbergii	26	25	
152421	Shorea leprosula	25	25	
3728	Sinapis alba	25	25	
32244	Quillaja saponaria	25	25	
41891	Coccomyxa	25	25	
55577	Dioscorea cayenensis subsp. rotundata	25	25	
3489	Artocarpus heterophyllus	37	24	
746888	Calamus simplicifolius	35	24	
444605	Populus alba x Populus x berolinensis	24	24	
218843	Turnera subulata	24	24	
2590455	Sindora glabra	24	24	
264427	Biscutella laevigata	24	24	
97445	Viola pubescens	24	24	
38686	Pharus latifolius	24	24	
102169	Penium margaritaceum	25	23	
38846	Euphorbia peplus	24	23	
51727	Chloromonas	23	23	
746018	Arabis montbretiana	23	23	
200642	Phalaenopsis hybrid cultivar	23	23	
65489	Oryza barthii	23	23	
154293	Dendrobium huoshanense	28	22	
199627	Wurfbainia villosa	23	22	
62889	Solanum chmielewskii	22	22	
164405	Melaleuca alternifolia	22	22	
4090	Nicotiana glauca	22	22	
3775	Cephalotus follicularis	22	22	
574487	Musa itinerans	22	22	
396994	Cucumis hystrix	22	22	
72658	Boechera stricta	22	22	
66656	Durio zibethinus	40	21	
58530	Aegilops sharonensis	23	21	
34297	Datisca glomerata	23	21	
303139	Lindernia subracemosa	21	21	
1840588	Camellia lanceoleosa	21	21	
2768810	Ailanthus altissimus	21	21	
364024	Prosopis cineraria	21	21	
36777	Elaeagnus angustifolia	21	21	
263965	Lindernia brevidens	21	21	
185542	Ilex paraguariensis	21	21	
557876	Pugionium cornutum	21	21	
3187	Nannochloris	21	21	
147273	Taxus wallichiana	21	21	
4096	Nicotiana sylvestris	22	20	
43171	Linaria vulgaris	20	20	
61141	Carallia brachiata	20	20	
113446	Echium plantagineum	20	20	
69181	Brassica cretica	20	20	
337465	Cinnamomum micranthum	20	20	
99437	Lumnitzera littorea	21	19	
4098	Nicotiana tomentosiformis	21	19	
343904	Flaveria sonorensis	19	19	
326768	Aechmea fasciata	19	19	
38733	Streptochaeta angustifolia	19	19	
1240361	Arabidopsis thaliana x Arabidopsis arenosa	19	19	
29740	Ulmus americana	19	19	
39325	Kingdonia uniflora	19	19	
248742	Coccomyxa subellipsoidea	19	19	
3343	Pinus lambertiana	83	18	
55571	Dioscorea alata	20	18	
151430	Prunus davidiana	19	18	
4225	Flaveria linearis	18	18	
4519	Hordeum marinum	18	18	
1510015	Microglena	18	18	
146544	Chloranthus sessilifolius	18	18	
190884	Iberis amara	18	18	
266420	Aristolochia contorta	18	18	
13715	Tetracentron sinense	18	18	
56857	Macleaya cordata	18	18	
3074	Parachlorella kessleri	18	18	
89674	Lolium rigidum	30	17	
906938	Rhynchospora pubera	29	17	
200316	Nicotiana obtusifolia	18	17	
888268	Dichanthelium oligosanthes	18	17	
97729	Boesenbergia rotunda	17	17	
